Date,Instrument,Location,GCR_Dose_mGy_d,SAA_Dose_mGy_d,Total_Dose_mGy_d,Mission_Milestone
12/5/18,RAD,LAB1O3,0.17137,0.11541,0.28678,launch
12/6/18,RAD,LAB1O3,0.17201,0.11883,0.29084,
12/7/18,RAD,LAB1O3,0.16847,0.12558,0.29405,
12/8/18,RAD,LAB1O3,0.1708,0.12127,0.29207,
12/9/18,RAD,LAB1O3,0.16715,0.11996,0.28711,
12/10/18,RAD,LAB1O3,0.17019,0.12794,0.29813,animal_transfer_to_ISS
12/11/18,RAD,LAB1O3,0.16985,0.13584,0.30569,
12/12/18,RAD,LAB1O3,0.16803,0.14462,0.31265,
12/13/18,RAD,LAB1O3,0.17002,0.12536,0.29538,
12/14/18,RAD,LAB1O3,0.17082,0.11206,0.28288,
12/15/18,RAD,LAB1O3,0.16798,0.15857,0.32655,
12/16/18,RAD,LAB1O3,0.17158,0.11827,0.28985,
12/17/18,RAD,LAB1O3,0.16974,0.13543,0.30517,
12/18/18,RAD,LAB1O3,0.17313,0.09705,0.27018,
12/19/18,RAD,LAB1O3,0.1713,0.14999,0.32129,
12/20/18,RAD,LAB1O3,0.17403,0.11083,0.28486,
12/21/18,RAD,LAB1O3,0.17541,0.10544,0.28085,
12/22/18,RAD,LAB1O3,0.1735,0.11193,0.28543,
12/23/18,RAD,LAB1O3,0.17403,0.12473,0.29876,
12/24/18,RAD,LAB1O3,0.17464,0.09841,0.27305,
12/25/18,RAD,LAB1O3,0.17488,0.09551,0.27039,
12/26/18,RAD,LAB1O3,0.17373,0.10433,0.27806,
12/27/18,RAD,LAB1O3,0.17599,0.11545,0.29144,sac1
12/28/18,RAD,LAB1O3,0.17344,0.10091,0.27435,sac2
12/29/18,RAD,LAB1O3,0.1741,0.09251,0.26661,
12/30/18,RAD,LAB1O3,0.17502,0.10432,0.27934,
12/31/18,RAD,LAB1O3,0.17413,0.11311,0.28724,
1/1/19,RAD,LAB1O3,0.1731,0.11108,0.28418,
1/2/19,RAD,LAB1O3,0.17316,0.11174,0.2849,
1/3/19,RAD,LAB1O3,0.17302,0.1014,0.27442,
1/4/19,RAD,LAB1O3,0.17094,0.10847,0.27941,
1/5/19,RAD,LAB1O3,0.17414,0.10781,0.28195,
1/6/19,RAD,LAB1O3,0.17173,0.11755,0.28928,
1/7/19,RAD,LAB1O3,0.17397,0.09274,0.26671,
1/8/19,RAD,LAB1O3,0.17178,0.10637,0.27815,
1/9/19,RAD,LAB1O3,0.17108,0.09555,0.26663,
1/10/19,RAD,LAB1O3,0.17283,0.11011,0.28294,
1/11/19,RAD,LAB1O3,0.17251,0.09553,0.26804,
1/12/19,RAD,LAB1O3,0.17083,0.10222,0.27305,
1/13/19,RAD,LAB1O3,0.17306,0.10279,0.27585,LAR
