Date,Instrument,Location,GCR_Dose_mGy_d,SAA_Dose_mGy_d,Total_Dose_mGy_d,Mission_Milestone
12/5/19,REM,LABSSC8,0.14836,0.18924,0.3376,launch
12/6/19,REM,LABSSC8,0.1501,0.18977,0.33987,
12/7/19,REM,LABSSC8,0.15037,0.18614,0.33651,
12/8/19,REM,LABSSC8,0.14942,0.18445,0.33387,
12/9/19,REM,LABSSC8,0.14582,0.19785,0.34367,animal_transfer_to_ISS
12/10/19,REM,LABSSC8,0.14588,0.20397,0.34985,
12/11/19,REM,LABSSC8,0.14557,0.21715,0.36272,
12/12/19,REM,LABSSC8,0.14888,0.21259,0.36147,
12/13/19,REM,LABSSC8,0.14708,0.22048,0.36756,
12/14/19,REM,LABSSC8,0.14679,0.2409,0.38769,
12/15/19,REM,LABSSC8,0.1464,0.23329,0.37969,
12/16/19,REM,LABSSC8,0.14844,0.22038,0.36882,
12/17/19,REM,LABSSC8,0.14445,0.24596,0.39041,
12/18/19,REM,LABSSC8,0.1485,0.22832,0.37682,
12/19/19,REM,LABSSC8,0.1496,0.22061,0.37021,
12/20/19,REM,LABSSC8,0.15168,0.23335,0.38503,
12/21/19,REM,LABSSC8,0.1486,0.23139,0.37999,
12/22/19,REM,LABSSC8,0.15126,0.22358,0.37484,
12/23/19,REM,LABSSC8,0.14846,0.22371,0.37217,
12/24/19,REM,LABSSC8,0.14785,0.22335,0.3712,
12/25/19,REM,LABSSC8,0.14336,0.20801,0.35137,
12/26/19,REM,LABSSC8,0.1493,0.21389,0.36319,
12/27/19,REM,LABSSC8,0.14662,0.21278,0.3594,
12/28/19,REM,LABSSC8,0.14619,0.20553,0.35172,
12/29/19,REM,LABSSC8,0.14743,0.20317,0.3506,
12/30/19,REM,LABSSC8,0.14835,0.19452,0.34287,
12/31/19,REM,LABSSC8,0.16021,0.20565,0.36586,
1/1/20,REM,LABSSC8,0.14613,0.19496,0.34109,
1/2/20,REM,LABSSC8,0.14533,0.22221,0.36754,
1/3/20,REM,LABSSC8,0.14948,0.20825,0.35773,
1/4/20,REM,LABSSC8,0.1453,0.2412,0.3865,
1/5/20,REM,LABSSC8,0.14495,0.19147,0.33642,
1/6/20,REM,LABSSC8,0.14448,0.24553,0.39001,
1/7/20,REM,LABSSC8,0.14621,0.19288,0.33909,
1/8/20,REM,LABSSC8,0.14518,0.23446,0.37964,LAR
